"","BIOLOGIA",""
"","1","D"
"","2","E"
"","3","C"
"","4","A"
"","5","E"
"","6","C"
"","7","B"
"CONTEÃšDOS GERAIS","8","E"
"","9","A"
"","10","B"
"","11","D"
"","12","E"
"","13","A"
"","14","E"
"","15","B"
"","16","C"
"","17","ANULADA"
"","18","C"
"","19","ANULADA"
"","20","C"
"","21","D"
"","22","C"
"","23","B"
"","24","E"
"","25","C"
"LICENCIATURA","26","B"
"","27","C"
"","28","E"
"","29","D"
"","30","A"
"","31","B"
"","32","E"
"","33","A"
"BACHARELADO","26","B"
"","27","A"
"","28","C"
"","29","D"
"","30","A"
"","31","A"
"","32","E"
"","33","B"
